,Region,Year,Sectors,Centroid_lat,Centroid_lon
57,Manawatu-WanganuiRegion,2020,TRANS_STOR,-40.185162812394054,175.50854629932988
58,MarlboroughRegion,2020,TRANS_STOR,-41.526646187253434,173.9046671127027
59,NelsonRegion,2020,TRANS_STOR,-41.29194572336696,173.25551255467536
60,NorthlandRegion,2020,TRANS_STOR,-35.63773898887554,174.13324253063152
61,OtagoRegion,2020,TRANS_STOR,-45.52490078858096,169.9008927655572
62,SouthlandRegion,2020,TRANS_STOR,-46.3264513183101,168.4430601709693
63,TaranakiRegion,2020,TRANS_STOR,-39.15121264247124,174.15697791578236
64,TasmanRegion,2020,TRANS_STOR,-41.311296329563184,173.0623982348802
65,WaikatoRegion,2020,TRANS_STOR,-37.85223070386201,175.49036924322522
66,WellingtonRegion,2020,TRANS_STOR,-41.14324075661288,174.9747430882463
67,WestCoastRegion,2020,TRANS_STOR,-42.44171517173354,171.2501258848963
68,AreaOutsideRegion,2020,COMBO,-43.91736412510104,-176.51508525366285
69,AucklandRegion,2020,COMBO,-36.877209351573754,174.78147762419164
70,BayOfPlentyRegion,2020,COMBO,-37.81700937922962,176.28731792003052
71,CanterburyRegion,2020,COMBO,-43.599484150510584,172.41757237842126
72,GisborneRegion,2020,COMBO,-38.61738055912683,177.99817563253814
73,HawkesBayRegion,2020,COMBO,-39.58429949558199,176.85514504844173
74,Manawatu-WanganuiRegion,2020,COMBO,-40.217150270280655,175.48365080832647
75,MarlboroughRegion,2020,COMBO,-41.49901946804571,173.9165593773621
76,NelsonRegion,2020,COMBO,-41.28572174580517,173.26551777392848
77,NorthlandRegion,2020,COMBO,-35.59952188920818,174.11438220230326
78,OtagoRegion,2020,COMBO,-45.48277560527415,169.8920509979806
79,SouthlandRegion,2020,COMBO,-46.27809185794644,168.4247773048942
80,TaranakiRegion,2020,COMBO,-39.17419287999441,174.14640946193543
81,TasmanRegion,2020,COMBO,-41.260456779201775,173.04829781881136
82,WaikatoRegion,2020,COMBO,-37.815945297962465,175.44614271354138
83,WellingtonRegion,2020,COMBO,-41.17052725263004,174.94398489620605
84,WestCoastRegion,2020,COMBO,-42.418029951142735,171.2315372171943
