,Area,TotHousehold,ParentArea,Year,MedInc_house,perc_less20k_house,perc_bet20k30k_house,perc_bet30k50k_house,perc_bet50k70k_house,perc_bet70k100k_house,perc_bet100k150k_house,perc_greater150k_house
44,Parakai,399.0,AucklandRegion,2013,38400.0,0.12781954887218044,0.15037593984962405,0.16541353383458646,0.11278195488721804,0.10526315789473684,0.06766917293233082,0.03007518796992481
45,Helensville Rural,468.0,AucklandRegion,2013,84100.0,0.05128205128205128,0.07051282051282051,0.10897435897435898,0.11538461538461539,0.14743589743589744,0.1858974358974359,0.14102564102564102
46,Helensville,993.0,AucklandRegion,2013,51300.0,0.11178247734138973,0.1268882175226586,0.17220543806646527,0.11782477341389729,0.1661631419939577,0.09969788519637462,0.03927492447129909
47,Waitoki,459.0,AucklandRegion,2013,92900.0,0.0718954248366013,0.0457516339869281,0.08496732026143791,0.10457516339869281,0.1437908496732026,0.1568627450980392,0.21568627450980393
48,Waikoukou Valley,531.0,AucklandRegion,2013,105100.0,0.06779661016949153,0.05084745762711865,0.07344632768361582,0.07909604519774012,0.14689265536723164,0.24293785310734464,0.21468926553672316
49,Orewa North,1086.0,AucklandRegion,2013,69400.0,0.06629834254143646,0.10220994475138122,0.1712707182320442,0.12154696132596685,0.15193370165745856,0.1574585635359116,0.143646408839779
50,Hatfields Beach,492.0,AucklandRegion,2013,74500.0,0.06097560975609756,0.08536585365853659,0.13414634146341464,0.1402439024390244,0.1951219512195122,0.18292682926829268,0.09146341463414634
51,Orewa South,1371.0,AucklandRegion,2013,40600.0,0.11597374179431072,0.16849015317286653,0.25820568927789933,0.12035010940919037,0.10722100656455143,0.087527352297593,0.04814004376367615
52,Orewa Central,1404.0,AucklandRegion,2013,44000.0,0.11324786324786325,0.16666666666666666,0.1987179487179487,0.11538461538461539,0.1282051282051282,0.0811965811965812,0.04700854700854701
53,Millwater North,213.0,AucklandRegion,2013,126800.0,0.014084507042253521,0.028169014084507043,0.056338028169014086,0.056338028169014086,0.18309859154929578,0.2535211267605634,0.352112676056338
54,Waipatukahu,438.0,AucklandRegion,2013,89400.0,0.0821917808219178,0.0410958904109589,0.08904109589041095,0.0958904109589041,0.1780821917808219,0.17123287671232876,0.18493150684931506
55,Millwater South,36.0,AucklandRegion,2013,84800.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.25,0.16666666666666666
56,Dairy Flat North,522.0,AucklandRegion,2013,90500.0,0.07471264367816093,0.05747126436781609,0.09770114942528736,0.09770114942528736,0.14942528735632185,0.14942528735632185,0.2413793103448276
57,Dairy Flat West,450.0,AucklandRegion,2013,93500.0,0.05333333333333334,0.05333333333333334,0.10666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.22666666666666666
58,Kingsway,621.0,AucklandRegion,2013,92600.0,0.04830917874396135,0.06763285024154589,0.12560386473429952,0.08695652173913043,0.1642512077294686,0.26570048309178745,0.14492753623188406
59,Riverhead Forest,3.0,AucklandRegion,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Silverdale Central (Auckland),114.0,AucklandRegion,2013,56500.0,0.07894736842105263,0.10526315789473684,0.13157894736842105,0.07894736842105263,0.13157894736842105,0.10526315789473684,0.02631578947368421
61,Red Beach West,744.0,AucklandRegion,2013,51400.0,0.09274193548387097,0.17338709677419356,0.1814516129032258,0.13709677419354838,0.125,0.13306451612903225,0.07258064516129033
62,Red Beach East,1464.0,AucklandRegion,2013,73500.0,0.06352459016393443,0.10245901639344263,0.13729508196721313,0.12295081967213115,0.1680327868852459,0.17008196721311475,0.125
63,Silverdale South (Auckland),639.0,AucklandRegion,2013,88500.0,0.056338028169014086,0.051643192488262914,0.107981220657277,0.107981220657277,0.1784037558685446,0.1784037558685446,0.19248826291079812
64,Waimauku,381.0,AucklandRegion,2013,101300.0,0.023622047244094488,0.05511811023622047,0.08661417322834646,0.11023622047244094,0.14173228346456693,0.2283464566929134,0.1968503937007874
65,Gulf Islands,66.0,AucklandRegion,2013,40300.0,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.09090909090909091,0.0,0.045454545454545456
66,Vipond,1065.0,AucklandRegion,2013,65400.0,0.08450704225352113,0.11549295774647887,0.15211267605633802,0.11549295774647887,0.15774647887323945,0.15774647887323945,0.10704225352112676
67,Muriwai,429.0,AucklandRegion,2013,86000.0,0.07692307692307693,0.04195804195804196,0.13986013986013987,0.09090909090909091,0.13286713286713286,0.1958041958041958,0.16083916083916083
68,Stanmore Bay West,933.0,AucklandRegion,2013,69700.0,0.06430868167202572,0.08360128617363344,0.1639871382636656,0.13504823151125403,0.19935691318327975,0.17041800643086816,0.0707395498392283
69,Kumeu Rural West,531.0,AucklandRegion,2013,87700.0,0.06779661016949153,0.05649717514124294,0.11864406779661017,0.096045197740113,0.15819209039548024,0.15819209039548024,0.20903954802259886
70,Okura Bush,417.0,AucklandRegion,2013,97200.0,0.05755395683453238,0.05755395683453238,0.11510791366906475,0.09352517985611511,0.1223021582733813,0.1510791366906475,0.26618705035971224
71,Whangaparaoa Central,1158.0,AucklandRegion,2013,73100.0,0.07512953367875648,0.08549222797927461,0.15025906735751296,0.11398963730569948,0.17098445595854922,0.17098445595854922,0.11658031088082901
72,Kumeu-Huapai,534.0,AucklandRegion,2013,75400.0,0.08426966292134831,0.07865168539325842,0.12921348314606743,0.10674157303370786,0.1797752808988764,0.17415730337078653,0.11235955056179775
73,Stanmore Bay East,984.0,AucklandRegion,2013,60400.0,0.08841463414634146,0.10365853658536585,0.1676829268292683,0.13719512195121952,0.14634146341463414,0.1524390243902439,0.06707317073170732
74,Manly West,867.0,AucklandRegion,2013,69600.0,0.08304498269896193,0.08996539792387544,0.15916955017301038,0.10726643598615918,0.15570934256055363,0.1453287197231834,0.13494809688581316
75,Muriwai Valley-Bethells Beach,333.0,AucklandRegion,2013,82500.0,0.06306306306306306,0.06306306306306306,0.09009009009009009,0.11711711711711711,0.18018018018018017,0.16216216216216217,0.14414414414414414
76,Tindalls-Matakatia,657.0,AucklandRegion,2013,72400.0,0.0684931506849315,0.0867579908675799,0.1643835616438356,0.1095890410958904,0.1415525114155251,0.136986301369863,0.1780821917808219
77,Coatesville,711.0,AucklandRegion,2013,124600.0,0.046413502109704644,0.03375527426160337,0.06751054852320675,0.09282700421940929,0.11814345991561181,0.18143459915611815,0.3459915611814346
78,Dairy Flat South,492.0,AucklandRegion,2013,119400.0,0.036585365853658534,0.03048780487804878,0.07926829268292683,0.06097560975609756,0.15853658536585366,0.15853658536585366,0.3353658536585366
79,Gulf Harbour North,837.0,AucklandRegion,2013,79000.0,0.04659498207885305,0.06451612903225806,0.16129032258064516,0.11827956989247312,0.16487455197132617,0.2007168458781362,0.12903225806451613
80,Manly East,1296.0,AucklandRegion,2013,61500.0,0.08333333333333333,0.12268518518518519,0.17824074074074073,0.125,0.1550925925925926,0.14583333333333334,0.09259259259259259
81,Riverhead,447.0,AucklandRegion,2013,90000.0,0.040268456375838924,0.053691275167785234,0.12751677852348994,0.087248322147651,0.18120805369127516,0.22818791946308725,0.1342281879194631
82,Army Bay,522.0,AucklandRegion,2013,71300.0,0.07471264367816093,0.08045977011494253,0.14942528735632185,0.12643678160919541,0.16091954022988506,0.16666666666666666,0.11494252873563218
83,Kumeu Rural East,594.0,AucklandRegion,2013,83500.0,0.06060606060606061,0.05555555555555555,0.09595959595959595,0.12121212121212122,0.1414141414141414,0.15151515151515152,0.1717171717171717
84,Gulf Harbour South,657.0,AucklandRegion,2013,71100.0,0.0639269406392694,0.0639269406392694,0.1598173515981735,0.1415525114155251,0.1643835616438356,0.1598173515981735,0.1187214611872146
85,Paremoremo West,273.0,AucklandRegion,2013,113400.0,0.04395604395604396,0.06593406593406594,0.08791208791208792,0.08791208791208792,0.0989010989010989,0.16483516483516483,0.31868131868131866
86,Taupaki,528.0,AucklandRegion,2013,82900.0,0.0625,0.07386363636363637,0.125,0.10227272727272728,0.1534090909090909,0.18181818181818182,0.1590909090909091
87,Long Bay,57.0,AucklandRegion,2013,81500.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.2631578947368421
88,Paremoremo East,636.0,AucklandRegion,2013,98400.0,0.02830188679245283,0.05188679245283019,0.10849056603773585,0.09433962264150944,0.15566037735849056,0.19811320754716982,0.22169811320754718
89,Albany Heights,786.0,AucklandRegion,2013,90900.0,0.05725190839694656,0.03816793893129771,0.10305343511450382,0.10687022900763359,0.15648854961832062,0.17938931297709923,0.18702290076335878
90,Awaruku,1383.0,AucklandRegion,2013,99300.0,0.0455531453362256,0.04338394793926247,0.09978308026030369,0.09761388286334056,0.16052060737527116,0.227765726681128,0.21691973969631237
91,Fairview Heights,948.0,AucklandRegion,2013,83300.0,0.0759493670886076,0.07278481012658228,0.1360759493670886,0.0949367088607595,0.12025316455696203,0.17088607594936708,0.18670886075949367
92,Whenuapai,1203.0,AucklandRegion,2013,88100.0,0.057356608478802994,0.04488778054862843,0.09476309226932668,0.13466334164588528,0.16458852867830423,0.19451371571072318,0.1745635910224439
93,Waitakere Ranges North,405.0,AucklandRegion,2013,90500.0,0.06666666666666667,0.037037037037037035,0.08888888888888889,0.0962962962962963,0.15555555555555556,0.2,0.14814814814814814
94,Torbay,1494.0,AucklandRegion,2013,83400.0,0.07028112449799197,0.0823293172690763,0.12449799196787148,0.10642570281124498,0.16265060240963855,0.19076305220883535,0.17670682730923695
95,Albany Central,105.0,AucklandRegion,2013,33400.0,0.17142857142857143,0.08571428571428572,0.17142857142857143,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.0
96,Albany West,708.0,AucklandRegion,2013,86500.0,0.07627118644067797,0.05508474576271186,0.11864406779661017,0.09745762711864407,0.1271186440677966,0.18220338983050846,0.18220338983050846
97,Glamorgan,1086.0,AucklandRegion,2013,86600.0,0.058011049723756904,0.06629834254143646,0.11049723756906077,0.10773480662983426,0.17955801104972377,0.22099447513812154,0.1408839779005525
98,Oteha East,1083.0,AucklandRegion,2013,64400.0,0.08587257617728532,0.11080332409972299,0.1523545706371191,0.12465373961218837,0.14958448753462603,0.16620498614958448,0.08310249307479224
99,Northcross,1074.0,AucklandRegion,2013,88100.0,0.04748603351955307,0.06424581005586592,0.12011173184357542,0.09497206703910614,0.1871508379888268,0.20391061452513967,0.16201117318435754
100,Oteha West,462.0,AucklandRegion,2013,69300.0,0.12337662337662338,0.06493506493506493,0.11688311688311688,0.11038961038961038,0.18181818181818182,0.14935064935064934,0.07792207792207792
101,Waiake,1284.0,AucklandRegion,2013,92400.0,0.04205607476635514,0.06074766355140187,0.10981308411214953,0.0911214953271028,0.19158878504672897,0.21261682242990654,0.1822429906542056
102,Waitakere,624.0,AucklandRegion,2013,84000.0,0.057692307692307696,0.0625,0.11538461538461539,0.09615384615384616,0.1778846153846154,0.20673076923076922,0.11538461538461539
103,Albany South,1140.0,AucklandRegion,2013,77600.0,0.07105263157894737,0.07894736842105263,0.12105263157894737,0.13157894736842105,0.15789473684210525,0.18157894736842106,0.14473684210526316
104,Browns Bay South West,1329.0,AucklandRegion,2013,87500.0,0.05191873589164785,0.04966139954853273,0.10609480812641084,0.12641083521444696,0.16930022573363432,0.20090293453724606,0.16478555304740405
105,Browns Bay Central,1059.0,AucklandRegion,2013,68900.0,0.08781869688385269,0.11614730878186968,0.13031161473087818,0.09915014164305949,0.1359773371104816,0.1529745042492918,0.1359773371104816
106,Schnapper Rock,1050.0,AucklandRegion,2013,112300.0,0.054285714285714284,0.04,0.09142857142857143,0.08285714285714285,0.12,0.1657142857142857,0.3057142857142857
107,Pinehill,1077.0,AucklandRegion,2013,78700.0,0.0807799442896936,0.06406685236768803,0.12813370473537605,0.10863509749303621,0.13370473537604458,0.17827298050139276,0.14484679665738162
108,North Harbour,261.0,AucklandRegion,2013,57700.0,0.12643678160919541,0.06896551724137931,0.14942528735632185,0.1724137931034483,0.12643678160919541,0.12643678160919541,0.05747126436781609
109,Browns Bay South East,915.0,AucklandRegion,2013,92100.0,0.05573770491803279,0.05573770491803279,0.1180327868852459,0.09508196721311475,0.16721311475409836,0.20327868852459016,0.19672131147540983
110,Westgate Central,24.0,AucklandRegion,2013,49700.0,0.125,0.0,0.25,0.0,0.0,0.0,0.125
111,Greenhithe West,1077.0,AucklandRegion,2013,122400.0,0.03899721448467967,0.036211699164345405,0.07799442896935933,0.09192200557103064,0.11420612813370473,0.19220055710306408,0.3426183844011142
112,Rothesay Bay,921.0,AucklandRegion,2013,104100.0,0.048859934853420196,0.06514657980456026,0.09771986970684039,0.07166123778501629,0.14332247557003258,0.18241042345276873,0.2736156351791531
113,Greenhithe East,831.0,AucklandRegion,2013,116800.0,0.036101083032490974,0.04332129963898917,0.06498194945848375,0.08664259927797834,0.1407942238267148,0.2563176895306859,0.2888086642599278
114,Hobsonville,297.0,AucklandRegion,2013,77000.0,0.08080808080808081,0.09090909090909091,0.1414141414141414,0.1111111111111111,0.15151515151515152,0.15151515151515152,0.18181818181818182
115,Inlet Waitemata Harbour,12.0,AucklandRegion,2013,19900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Greenhithe South,450.0,AucklandRegion,2013,111800.0,0.02666666666666667,0.04666666666666667,0.08,0.10666666666666667,0.14,0.21333333333333335,0.2866666666666667
117,Murrays Bay West,825.0,AucklandRegion,2013,104200.0,0.06909090909090909,0.04,0.08727272727272728,0.08727272727272728,0.13090909090909092,0.1890909090909091,0.2545454545454545
118,Westgate South,522.0,AucklandRegion,2013,66500.0,0.10919540229885058,0.09195402298850575,0.14367816091954022,0.09195402298850575,0.13793103448275862,0.1839080459770115,0.09770114942528736
119,Windsor Park,639.0,AucklandRegion,2013,49400.0,0.11737089201877934,0.13615023474178403,0.19718309859154928,0.09389671361502347,0.11737089201877934,0.107981220657277,0.12206572769953052
120,West Harbour West,1266.0,AucklandRegion,2013,75400.0,0.07109004739336493,0.052132701421800945,0.12559241706161137,0.12085308056872038,0.1990521327014218,0.17061611374407584,0.07345971563981042
121,Unsworth Heights West,708.0,AucklandRegion,2013,91000.0,0.046610169491525424,0.059322033898305086,0.11016949152542373,0.1059322033898305,0.1440677966101695,0.19915254237288135,0.18220338983050846
122,Murrays Bay East,762.0,AucklandRegion,2013,110200.0,0.03543307086614173,0.03543307086614173,0.09448818897637795,0.10236220472440945,0.12992125984251968,0.1732283464566929,0.29133858267716534
123,Birdwood West,204.0,AucklandRegion,2013,86800.0,0.058823529411764705,0.058823529411764705,0.08823529411764706,0.11764705882352941,0.16176470588235295,0.17647058823529413,0.16176470588235295
124,Hobsonville Point,273.0,AucklandRegion,2013,93900.0,0.03296703296703297,0.04395604395604396,0.06593406593406594,0.13186813186813187,0.1978021978021978,0.24175824175824176,0.14285714285714285
125,West Harbour Clearwater Cove,1383.0,AucklandRegion,2013,98100.0,0.04772234273318872,0.04772234273318872,0.12147505422993492,0.07809110629067245,0.1540130151843818,0.21908893709327548,0.21258134490238612
126,Unsworth Heights East,1020.0,AucklandRegion,2013,83000.0,0.05588235294117647,0.05588235294117647,0.11176470588235295,0.1264705882352941,0.17352941176470588,0.2,0.1264705882352941
127,Mairangi Bay North,930.0,AucklandRegion,2013,93900.0,0.04516129032258064,0.05806451612903226,0.1064516129032258,0.1,0.16451612903225807,0.16129032258064516,0.24516129032258063
128,Massey Central,924.0,AucklandRegion,2013,67100.0,0.09090909090909091,0.06818181818181818,0.14285714285714285,0.1331168831168831,0.2012987012987013,0.14285714285714285,0.045454545454545456
129,West Harbour Luckens Point,840.0,AucklandRegion,2013,99500.0,0.060714285714285714,0.05714285714285714,0.10357142857142858,0.08571428571428572,0.1392857142857143,0.20357142857142857,0.2392857142857143
130,Mairangi Bay South,882.0,AucklandRegion,2013,104900.0,0.03741496598639456,0.047619047619047616,0.10884353741496598,0.09183673469387756,0.1360544217687075,0.1870748299319728,0.2687074829931973
131,Massey Royal Road West,873.0,AucklandRegion,2013,72300.0,0.06529209621993128,0.06872852233676977,0.12371134020618557,0.13058419243986255,0.17869415807560138,0.1718213058419244,0.061855670103092786
132,Bayview East,1074.0,AucklandRegion,2013,76800.0,0.06424581005586592,0.0670391061452514,0.12011173184357542,0.12849162011173185,0.1787709497206704,0.1871508379888268,0.09776536312849161
133,Swanson Rural,708.0,AucklandRegion,2013,90300.0,0.059322033898305086,0.05084745762711865,0.11016949152542373,0.08898305084745763,0.17796610169491525,0.21610169491525424,0.15254237288135594
134,Sunnynook South,816.0,AucklandRegion,2013,71300.0,0.09926470588235294,0.07352941176470588,0.12867647058823528,0.1213235294117647,0.1875,0.17647058823529413,0.06985294117647059
135,Sunnynook North,885.0,AucklandRegion,2013,74600.0,0.07796610169491526,0.0711864406779661,0.10508474576271186,0.15254237288135594,0.16271186440677965,0.19322033898305085,0.10508474576271186
136,Bayview West,756.0,AucklandRegion,2013,80400.0,0.07539682539682539,0.05952380952380952,0.10317460317460317,0.1111111111111111,0.20238095238095238,0.21031746031746032,0.08333333333333333
137,Totara Vale North,966.0,AucklandRegion,2013,76300.0,0.06521739130434782,0.040372670807453416,0.12422360248447205,0.14285714285714285,0.19875776397515527,0.17080745341614906,0.09006211180124224
138,Royal Heights North,1086.0,AucklandRegion,2013,76500.0,0.06629834254143646,0.06353591160220995,0.13812154696132597,0.10220994475138122,0.20718232044198895,0.16574585635359115,0.08287292817679558
