WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (173.33840888193876 -35.36852028546559),101600,Hokianga North,Hokianga North,363.299388882,363.299388882,-35.368520285140804,173.3384088821935,1630741.342123263,6086035.642635949,1630741.3421,6086035.6426
POINT (173.46362676169994 -35.290085148845954),101700,Kohukohu-Broadwood,Kohukohu-Broadwood,209.935925429,209.935925429,-35.29008514868565,173.46362676118324,1642157.013853099,6094688.285818006,1642157.0139,6094688.2858
POINT (173.85239218980217 -35.060879047330204),101800,Whakarara,Whakarara,477.966400881,477.966400881,-35.06087904713593,173.85239219021764,1677725.5277380734,6119873.508421229,1677725.5277,6119873.5084
POINT (173.7433132088315 -35.15410268330815),101900,Kaeo,Kaeo,255.559676725,255.559676725,-35.154102683573655,173.74331320935624,1667701.7950475777,6109614.451470207,1667701.795,6109614.4515
POINT (173.61777980277984 -35.288372615043464),102000,Omahuta Forest-Horeke,Omahuta Forest-Horeke,490.077314466,490.077314466,-35.28837261505976,173.61777980264154,1656175.3037874135,6094801.789298281,1656175.3038,6094801.7893
POINT (173.48440772057526 -35.46800176143606),102100,Hokianga South,Hokianga South,126.047180127,126.047180127,-35.468001761863235,173.48440772062867,1643950.026304612,6074947.506252606,1643950.0263,6074947.5063
POINT (173.89033423090635 -35.17898348540546),102200,Lake Manuwai-Kapiro,Lake Manuwai-Kapiro,59.0733000192,59.0733000192,-35.17898348550998,173.8903342314473,1681068.271449152,6106745.147887977,1681068.2714,6106745.1479
POINT (173.79081550961973 -35.2866116363181),102300,Ōkaihau,Okaihau,147.590201961,160.019637733,-35.28661163613956,173.7908155097861,1671911.4607152888,6094885.350819688,1671911.4607,6094885.3508
POINT (173.9940308682283 -35.14646983425636),102400,Rangitane-Purerua,Rangitane-Purerua,715.680998385,715.680998385,-35.14646983403352,173.99403086807715,1690546.5753864762,6110261.60492486,1690546.5754,6110261.6049
POINT (173.91586392190192 -35.204542212195484),102500,Waipapa,Waipapa,9.16016257426,9.16016257426,-35.204542211853415,173.9158639218366,1683366.796494404,6103889.457938,1683366.7965,6103889.4579
POINT (173.90330769705673 -35.251763165794976),102600,Puketotara,Puketotara,55.2639536442,55.2639536442,-35.25176316568703,173.9033076973124,1682176.1994233662,6098662.877911767,1682176.1994,6098662.8779
POINT (173.62952632494788 -35.48716637807608),102700,Waimā Forest,Waima Forest,236.995169821,236.995169821,-35.48716637803804,173.62952632452985,1657103.151462108,6072747.74330447,1657103.1515,6072747.7433
POINT (173.96243364768063 -35.20806019533511),102800,Riverview,Riverview,6.21892632125,6.21892632125,-35.20806019537705,173.96243364788356,1687602.1730184257,6103459.233495177,1687602.173,6103459.2335
POINT (173.5113352732483 -35.58127231346423),102900,Waipoua Forest,Waipoua Forest,277.851041712,277.851041712,-35.581272313678426,173.51133527341105,1646328.0221146194,6062372.658576176,1646328.0221,6062372.6586
